document_id,version,status,language,domain,topic_name,role_targets,job_levels,difficulty_level,knowledge_summary,knowledge_concepts,expected_points_must_have,common_mistakes,follow_up_questions,deliverables_action_items,is_active,quality_score
int_doc_python_oop_01,1.0.0,approved,vi,backend,python-oop,backend-engineer;python-developer,junior;mid,intermediate,"Hiểu về các nguyên lý hướng đối tượng (OOP) trong Python bao gồm kế thừa, đóng gói, đa hình và trừu tượng.","MRO (Method Resolution Order);Abstract Class;Interface;super()","Giải thích cơ chế đa kế thừa và thứ tự Method Resolution Order (MRO);Phân biệt classmethod và staticmethod;Sử dụng đúng hàm super() để khởi tạo lớp cha","Nhầm lẫn cơ chế đa kế thừa chạy theo chiều rộng thuần túy thay vì thuật toán C3 Linearization;Dùng đối tượng mutable làm giá trị mặc định cho tham số của phương thức","Làm thế nào để tạo một singleton class thread-safe trong Python?;Sự khác biệt giữa __new__ và __init__ là gì và khi nào nên ghi đè __new__?","Xây dựng một Class Decorator tự động log thời gian chạy và lưu vết cuộc gọi của mọi phương thức trong Class.",true,0.95
int_doc_caching_01,1.0.0,approved,vi,backend,caching-strategies,backend-engineer;devops,mid;senior,advanced,"Nắm vững các chiến lược Caching phổ biến (Cache-Aside, Write-Through, Write-Behind) và cơ chế dọn dẹp bộ nhớ đệm.","Cache-Aside;Write-Through;Write-Behind;Eviction Policies (LRU, LFU);Cache Stampede","Mô tả chi tiết cách hoạt động của Cache-Aside và Write-Through;So sánh ưu nhược điểm về độ trễ và tính nhất quán dữ liệu giữa các chiến lược;Giải thích cách phòng tránh hiện tượng Cache Stampede / Thundering Herd","Không xử lý trường hợp Cache Stampede dẫn đến sập DB khi key hết hạn;Đặt TTL quá dài gây lệch dữ liệu giữa Cache và DB","Cơ chế dọn dẹp bộ nhớ LRU hoạt động thế nào và cách tối ưu hóa Redis khi bộ nhớ bị đầy?;Làm thế nào để triển khai phân tán khóa (Distributed Lock) sử dụng Redis?","Thiết kế kiến trúc Cache-Aside kết hợp cơ chế khóa phân tán Redlock bằng mã giả để đảm bảo tính nhất quán.",true,0.90
int_doc_spring_ioc_01,1.0.0,approved,vi,backend,spring-ioc,backend-engineer;java-developer;software-engineer,junior;mid;senior,intermediate,"Nguồn: https://docs.spring.io/spring-framework/reference/core/beans/introduction.html - Hiểu cơ chế Inversion of Control của Spring và vai trò của IoC container trong quản lý object.","IoC;BeanFactory;ApplicationContext;Dependency Injection","Giải thích IoC và DI khác nhau như thế nào;Phân biệt BeanFactory và ApplicationContext;Mô tả vòng đời tạo và quản lý bean ở mức khái niệm","Nhầm IoC với một pattern riêng lẻ thay vì nguyên lý đảo ngược quyền kiểm soát;Không phân biệt container với đối tượng bean được container quản lý","Khi nào nên ưu tiên ApplicationContext thay vì BeanFactory?;IoC của Spring hỗ trợ những kiểu inject nào?","Tóm tắt cách Spring container tạo, quản lý và cung cấp dependency cho bean trong một ứng dụng thực tế.",true,0.98
int_doc_spring_bean_01,1.0.0,approved,vi,backend,spring-bean,backend-engineer;java-developer;software-engineer,junior;mid;senior,intermediate,"Nguồn: https://docs.spring.io/spring-framework/reference/core/beans/definition.html - Nắm được bean definition, metadata, naming và cơ chế khởi tạo bean trong Spring.","BeanDefinition;Bean Metadata;Bean Naming;Bean Scopes;Factory Method","Giải thích bean definition gồm những metadata nào;Mô tả cách đặt tên và alias cho bean;Hiểu các cách instantiate bean bằng constructor và factory method","Nhầm bean definition với instance bean thực thi;Bỏ qua runtime type khi bean được tạo qua factory hoặc proxy","Bean overriding ảnh hưởng gì tới maintainability?;Khi nào nên dùng factory method thay cho constructor?","Lập bản đồ giữa metadata của bean và cách container dùng chúng để tạo object.",true,0.97
int_doc_spring_di_01,1.0.0,approved,vi,backend,spring-dependency-injection,backend-engineer;java-developer;software-engineer,junior;mid;senior,intermediate,"Nguồn: https://docs.spring.io/spring-framework/reference/core/beans/dependencies.html - Hiểu cách Spring thực hiện Dependency Injection qua constructor, property và autowiring.","Constructor Injection;Property Injection;Autowired;Qualifier;Optional Dependencies","Phân biệt constructor injection và property injection;Biết khi nào cần dùng @Qualifier;Hiểu cách Spring resolve dependency và xử lý optional dependency","Lạm dụng field injection khiến test khó viết và phụ thuộc ẩn;Chọn sai bean khi có nhiều implementation cùng type","Tại sao constructor injection thường được khuyến nghị hơn field injection?;Spring resolve bean khi có nhiều candidate như thế nào?","Đề xuất chiến lược DI cho một service lớn để giảm coupling và tăng khả năng test.",true,0.99
int_doc_spring_mvc_01,1.0.0,approved,vi,backend,spring-mvc,backend-engineer;java-developer;fullstack-developer,junior;mid;senior,intermediate,"Nguồn: https://docs.spring.io/spring-framework/reference/web/webmvc.html - Nắm tổng quan Spring Web MVC trên servlet stack và các thành phần xử lý request/response.","DispatcherServlet;Annotated Controllers;HTTP Message Conversion;CORS;Data Binding","Giải thích vai trò của DispatcherServlet;Mô tả request mapping và controller xử lý request thế nào;Hiểu các phần liên quan đến binding, message conversion và CORS","Nhầm Spring MVC với WebFlux;Bỏ qua ảnh hưởng của message converters tới JSON serialization/deserialization","DispatcherServlet nằm ở vị trí nào trong luồng request?;Khi nào nên dùng @RestController thay vì @Controller?","Mô tả luồng request trong Spring MVC từ client tới controller và quay về response.",true,0.98
int_doc_spring_boot_01,1.0.0,approved,vi,backend,spring-boot,backend-engineer;java-developer;software-engineer,junior;mid;senior,intermediate,"Nguồn: https://docs.spring.io/spring-boot/docs/current/reference/html/ - Hiểu triết lý opinionated configuration của Spring Boot và mục tiêu tạo ứng dụng production-grade nhanh hơn.","Auto-Configuration;Embedded Server;Externalized Configuration;Actuator;Starters","Giải thích Spring Boot giúp giảm cấu hình như thế nào;Biết ý nghĩa của auto-configuration và starters;Hiểu các tính năng vận hành như actuator, health checks và metrics","Cho rằng Spring Boot thay thế hoàn toàn Spring Framework;Không nhận ra auto-configuration có thể được tùy biến hoặc vô hiệu hóa","Khi nào nên override auto-configuration?;Spring Boot hỗ trợ cách đóng gói và chạy ứng dụng nào?","Tổng hợp các điểm chính cần nhớ khi bắt đầu dự án mới với Spring Boot.",true,0.99
int_doc_spring_guides_01,1.0.0,approved,vi,backend,spring-guides,backend-engineer;java-developer;software-engineer,junior;mid,beginner,"Nguồn: https://spring.io/guides - Trang guide chính thức của Spring để học theo bài thực hành ngắn, cập nhật và bám sát các project releases mới nhất.","Spring Guides;REST APIs;Data Access;Security;Web;Testing","Biết cách chọn guide phù hợp theo chủ đề;Hiểu đây là nguồn thực hành chính thức của Spring team;Biết chuyển từ guide sang ứng dụng thực tế","Chỉ đọc guide mà không thử chạy code;Lấy guide thay thế hoàn toàn cho reference docs","Guide nào phù hợp để bắt đầu với Spring Boot?;Nên học theo guide hay reference docs trước?","Chọn 3 guide nền tảng để dựng lộ trình học Spring cho người mới.",true,0.94
int_doc_java_se_docs_01,1.0.0,approved,vi,backend,java-se-documentation,backend-engineer;java-developer;software-engineer,junior;mid;senior,advanced,"Nguồn: https://docs.oracle.com/en/java/javase/ - Cổng tài liệu chính thức của Java SE để tra JDK versions, release notes, API docs và tài liệu liên quan.","Java SE;Release Notes;API Docs;JDK Versions","Biết cách tìm đúng phiên bản JDK theo nhu cầu dự án;Biết cách tra release notes và tài liệu API chính thức;Phân biệt tài liệu hiện hành và tài liệu lịch sử","Chỉ dùng blog tóm tắt thay vì tài liệu gốc khi cần hành vi chuẩn của JDK;Nhầm lẫn giữa tài liệu cho phiên bản mới và tài liệu cho bản LTS đang dùng","Khi nào nên ưu tiên JDK LTS thay vì bản phát hành mới nhất?;Làm thế nào để tìm thay đổi liên quan đến một phiên bản Java cụ thể?","Tổng hợp danh sách tài liệu chính thức cần bookmark cho team Java và phân loại theo mục đích sử dụng.",true,0.98
int_doc_java_tutorials_01,1.0.0,approved,vi,backend,java-tutorials,backend-engineer;java-developer,junior;mid,intermediate,"Nguồn: https://docs.oracle.com/javase/tutorial/ - Bộ Java Tutorials của Oracle để học khái niệm cơ bản, cú pháp và các chuyên đề nền tảng.","Getting Started;Learning the Java Language;Collections;Date-Time APIs;Swing;JavaFX","Biết cách học theo từng trail của tài liệu;Hiểu giới hạn của tutorial viết cho JDK 8;Biết đối chiếu với tài liệu Java mới hơn khi cần","Áp dụng nguyên xi ví dụ cũ mà không kiểm tra tính tương thích với JDK hiện tại;Xem tutorial như đặc tả chính thức thay vì tài liệu hướng dẫn","Lộ trình nào phù hợp để học Java từ Java Tutorials đến dev.java?;Những phần nào trong Java Tutorials còn hữu ích nhất cho người mới?","Lập checklist học Java cơ bản dựa trên các trail của Oracle và ghi chú phần nào cần thay bằng tài liệu mới hơn.",true,0.92
